variant,seed,epoch,mIoU,boundary_f1_mean,trimap_mIoU_mean,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
A,42,160,0.815127,0.771875,0.521630,0.984613,0.875574,0.933866,0.599618,0.667771,0.700519,0.746548,0.826526,0.930927,0.666586,0.953017,0.848923,0.689436,0.957568,0.864455,0.905633,0.832095,0.707476,0.796258
A,123,160,0.810961,0.773134,0.522255,0.984396,0.875413,0.934345,0.565779,0.660963,0.701306,0.742664,0.823538,0.931316,0.667391,0.955529,0.848289,0.680620,0.958887,0.861474,0.917064,0.813816,0.690129,0.795335
A,456,160,0.812403,0.772246,0.521099,0.984177,0.874648,0.933401,0.567359,0.674096,0.701482,0.748607,0.831882,0.931122,0.673187,0.954184,0.844437,0.668331,0.956969,0.849673,0.903968,0.837043,0.707661,0.793430
B,42,160,0.814296,0.763699,0.539636,0.984818,0.871675,0.933656,0.596869,0.672506,0.696590,0.768900,0.833347,0.930768,0.654030,0.955866,0.850841,0.684486,0.956755,0.841448,0.903796,0.837047,0.699436,0.798791
B,123,160,0.808617,0.764951,0.538280,0.984660,0.872754,0.932151,0.574459,0.647287,0.700335,0.769677,0.835897,0.931412,0.666810,0.955713,0.850062,0.694633,0.953579,0.754746,0.913930,0.822143,0.705772,0.797696
B,456,160,0.809890,0.763026,0.536703,0.983788,0.867558,0.932434,0.566330,0.662302,0.695717,0.767042,0.836310,0.930642,0.662144,0.956364,0.845974,0.675506,0.953367,0.811133,0.874742,0.852955,0.715717,0.797876
C,42,160,0.813137,0.763251,0.538531,0.984518,0.870817,0.932505,0.570276,0.673218,0.697004,0.768853,0.835194,0.929988,0.661148,0.955697,0.849635,0.677261,0.955873,0.843712,0.885707,0.825783,0.732568,0.799844
C,123,160,0.812222,0.767441,0.540905,0.984570,0.871815,0.932869,0.562652,0.649148,0.700690,0.775204,0.837199,0.930858,0.665883,0.955981,0.850162,0.687787,0.957121,0.848106,0.903977,0.813073,0.706670,0.798452
C,456,160,0.811443,0.764314,0.536613,0.984118,0.868992,0.932788,0.582039,0.662535,0.694659,0.766144,0.835687,0.931226,0.665541,0.956601,0.847782,0.675304,0.956110,0.834852,0.903594,0.813160,0.708306,0.797982
D,42,160,0.817297,0.772612,0.522026,0.984494,0.874647,0.934581,0.592812,0.674028,0.701421,0.748614,0.824144,0.931673,0.673676,0.953328,0.850651,0.685713,0.958761,0.864244,0.927090,0.834385,0.715904,0.798476
D,123,160,0.817586,0.773678,0.524112,0.984632,0.875706,0.934749,0.624972,0.667339,0.703483,0.743707,0.824848,0.931197,0.673179,0.954861,0.850306,0.686304,0.958845,0.875256,0.916205,0.813809,0.720127,0.794608
D,456,160,0.815691,0.773166,0.521376,0.984754,0.877656,0.936758,0.631375,0.669234,0.699874,0.750430,0.830630,0.932105,0.681415,0.955142,0.847854,0.678227,0.956561,0.826611,0.920275,0.830837,0.692462,0.795929
