class,A_mean,A_std,B_mean,B_std,C_mean,C_std,D_mean,D_std,delta_D_A,delta_D_B,delta_C_B
road,98.44,0.02,98.44,0.06,98.44,0.02,98.46,0.01,+0.02,+0.02,-0.00
sidewalk,87.52,0.05,87.07,0.27,87.05,0.14,87.60,0.15,+0.08,+0.53,-0.01
building,93.39,0.05,93.27,0.08,93.27,0.02,93.54,0.12,+0.15,+0.26,-0.00
wall,57.76,1.91,57.92,1.59,57.17,0.98,61.64,2.06,+3.88,+3.73,-0.75
fence,66.76,0.66,66.07,1.27,66.16,1.21,67.02,0.35,+0.26,+0.95,+0.09
pole,70.11,0.05,69.75,0.25,69.74,0.31,70.16,0.18,+0.05,+0.40,-0.01
traffic light,74.60,0.30,76.85,0.14,77.01,0.47,74.76,0.35,+0.16,-2.10,+0.15
traffic sign,82.73,0.42,83.52,0.16,83.60,0.10,82.65,0.36,-0.08,-0.86,+0.08
vegetation,93.11,0.02,93.09,0.04,93.07,0.06,93.17,0.05,+0.05,+0.07,-0.03
terrain,66.91,0.37,66.10,0.64,66.42,0.26,67.61,0.46,+0.70,+1.51,+0.32
sky,95.42,0.13,95.60,0.03,95.61,0.05,95.44,0.10,+0.02,-0.15,+0.01
person,84.72,0.24,84.90,0.26,84.92,0.13,84.96,0.15,+0.24,+0.06,+0.02
rider,67.94,1.06,68.49,0.95,68.01,0.67,68.34,0.45,+0.40,-0.15,-0.48
car,95.78,0.10,95.46,0.19,95.64,0.07,95.81,0.13,+0.02,+0.35,+0.18
truck,85.86,0.78,80.24,4.39,84.22,0.68,85.54,2.55,-0.32,+5.29,+3.98
bus,90.89,0.71,89.75,2.03,89.77,1.04,92.12,0.55,+1.23,+2.37,+0.03
train,82.76,1.22,83.74,1.54,81.73,0.73,82.63,1.10,-0.13,-1.10,-2.00
motorcycle,70.18,1.01,70.70,0.82,71.58,1.45,70.95,1.49,+0.77,+0.25,+0.89
bicycle,79.50,0.14,79.81,0.06,79.87,0.10,79.63,0.20,+0.13,-0.18,+0.06
