comparison,metric,delta_mean,t_stat,p_value,p_holm,significant_holm_0.05
A-B,mIoU,+0.190,3.546,0.0712,0.3558,no
A-C,mIoU,+0.056,0.587,0.6167,0.8718,no
A-D,mIoU,-0.403,-3.010,0.0949,0.3558,no
B-C,mIoU,-0.133,-0.966,0.4359,0.8718,no
B-D,mIoU,-0.592,-3.436,0.0753,0.3558,no
C-D,mIoU,-0.459,-11.847,0.0070,0.0423,yes
A-B,boundary_f1_mean,+0.853,24.583,0.0017,0.0099,yes
A-C,boundary_f1_mean,+0.742,8.385,0.0139,0.0552,no
A-D,boundary_f1_mean,-0.073,-6.759,0.0212,0.0552,no
B-C,boundary_f1_mean,-0.111,-1.302,0.3228,0.3228,no
B-D,boundary_f1_mean,-0.926,-20.890,0.0023,0.0114,yes
C-D,boundary_f1_mean,-0.815,-8.422,0.0138,0.0552,no
A-B,trimap_mIoU_mean,-1.654,-22.342,0.0020,0.0100,yes
A-C,trimap_mIoU_mean,-1.702,-18.761,0.0028,0.0113,yes
A-D,trimap_mIoU_mean,-0.084,-1.660,0.2388,0.4775,no
B-C,trimap_mIoU_mean,-0.048,-0.428,0.7103,0.7103,no
B-D,trimap_mIoU_mean,+1.570,15.529,0.0041,0.0124,yes
C-D,trimap_mIoU_mean,+1.618,33.849,0.0009,0.0052,yes
